Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Unnamed: 9,City,Country
Yulu,2015.0,Bangaluru,Micro-mobiity,The electric and scooter rental startup,Amit Gupta,Rocketship,3964000 ,Seed,,Bangaluru,India
Milkbasket,2015.0,Gurugram,Logistics,Hyperlocal delivery service startup,Anant Goel,Inflection Point Ventures,5500000 ,Seed,,Gurugram,India
MergerDomo,2018.0,Noida,Marketplace,Global online corporate deal sourcing and consulting marketplace,"Hormazd Charna, Manoj Mishra","Nadir Godrej, Individual Investors",197000 ,Seed,,Noida,India
GoMechanic,2016.0,Delhi,Auto-tech,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Pawan Munjal,,Series B,,Delhi,India
Milk Mantra,2009.0,Odisha,Food,Produces Dairy Products,Srikumar Misra,US International Development Finance Corporation,10000000 ,Seed,,Odisha,India
Myglamm,2015.0,Mumbai,Beauty,On-demand beauty services provider,Darpan Sanghvi,"Tano India, L’Occitane, Bessemer",4327000 ,Seed,,Mumbai,India
Drishti Technologies,2015.0,Bangaluru,AI,"AI-based video analytics, data, and insights bring benefits to manufacturers",Prasad Akella,Sozo Ventures,25000000 ,Series B,,Bangaluru,India
Instasolv,2019.0,Noida,Edtech,It is a doubt-solving app for students from Class 6 to 12,"Aditya Singhal, Nishant Sinha, Bahul Arora",Undisclosed,2000000 ,Pre series A,,Noida,India
GoldenPi,2017.0,Bangaluru,Fintech,An online aggregator of bonds and debentures available in the secondary market,"Abhijit Roy, Samir Pratihar",Rainmatter Capital,459000 ,Seed,,Bangaluru,India
Peppermint,2020.0,Bangaluru,Robotics,Industrial robotics startup,"Runal Dahiwade, Nityanand Prabhutendolkar, Miraj C. Vora","Venture Catalysts, Naveen Kshatriya,",,Seed,,Bangaluru,India
Sarva,2015.0,Mumbai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,Shikhar Dhawan,,Seed,,Mumbai,India
Jai Kisan,2017.0,Mumbai,Fintech,A platform that caters the need of customers in rural areas,"Arjun Ahluwalia, Adriel Maniego","Arkam Ventures, Nabventures",3937000 ,Pre series A,,Mumbai,India
Agro2o,2015.0,New Delhi,AgriTech,It develops products focused on making hydroponics-based farming,Yash Vyas,Mumbai Angels Network,,Seed,,New Delhi,India
LetsTransport,2015.0,Bangaluru,Logitech,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Stride Ventures,1313500 ,Seed,,Bangaluru,India
GabbarDeals,2015.0,Pune,Ecommerce,Online-to-Offline platforms for mobile phones & accessories,"Niraj Raka, Poonam Gugale, Piyush Raka",Venture Catalysts,,Seed,,Pune,India
Crimson Healthcare,2015.0,Delhi,Med Tech,It innovates cutting edge solutions for various problems in the healthcare system,"Pranav Chopra, Neeraj Kumar",Mumbai Angels Network,229800 ,Seed,,Delhi,India
Biomoneta,2015.0,Bangaluru,Life sciences,It develops germicidal technologies,Dr Janani Venkatraman,"Beyond Next Ventures, ArthaVida Ventures, Dr Aniruddha Malpani",,Seed,,Bangaluru,India
Edvizo,2015.0,Bangaluru,Edtech,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",Ravi Nishant,Inflection Point Ventures,150000 ,Seed,,Bangaluru,India
Servify,2015.0,Mumbai,SaaS,Operates device management and support platform,Sreevathsa Prabhakar,"Iron Pillar, Blume Ventures",11370000 ,Series C,,Mumbai,India
Drum Food,2015.0,Mumbai,Food,It runs yoghurt brand Epigamia,"Rohan Mirchandani, Ganesh Krishnamurthy, Rahul Jain,Uday Thakkar.","Danone Manifesto, Mousse Partners",5305000 ,Seed,,Mumbai,India
Innoviti,2002.0,Bangaluru,SaaS,Digital payments solutions company,Rajeev Agrawal,"Entrepreneurial Development Bank, Bessemer Venture Partners",,Series C,,Bangaluru,India
Jiffy ai,2018.0,Bangaluru,AI,Enterprise automation startup,Babu Sivadasan,Nexus Venture Partners,18000000 ,Series A,,Bangaluru,India
Postman,2014.0,Bangaluru,Tech,API development platform startup,"Abhijit Kane, Abhinav Asthana, Ankit Sobti",Insight Partners,150000000 ,Series C,,Bangaluru,India
F5,2018.0,Bangaluru,Retail Aggregator,It provides opportunities for its partner vendors to upsell and cross-sell their products.,"Raghav Arora, Lalit Kumar Aggarwal",Venture Catalysts,,Seed,,Bangaluru,India
Waycool,2015.0,Chennai,AgriTech,Food development and distribution services,"Karthick Jayraman, Sanjay Dasari",Induslnd Bank,5500000 ,Series C,,Chennai,India
Myelin Foundry,2019.0,Bangaluru,Deep Tech AI,"It builds AI based algorithms on video, voice and sensor","Dr Gopichand Katragadda, Ganesh Suryanarayanan, Aditi Olemann.",Pratithi,,Seed,,Bangaluru,India
Ameliorate Biotech,2015.0,Bangaluru,Biotech,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.","Dr Binita Shrivastava Tunga, Dr Rashbehari Tunga","PadUp, Villgro USA, Vinners, LetsVenture, SINE IIT Bombay, DERBI",264000 ,Angel,,Bangaluru,India
Hapramp,2018.0,Gurugram,Blockchain,Startup working on technologies like blockchain and social media,"Shubhendra Vikram, Ankit Kumar",Anand Mahindra,1000000 ,Seed,,Gurugram,India
MyKaam,2016.0,Bangaluru,HrTech,Online job searching and recruiting platform,Ashish Gupta,"Dr Apoorva Ranjan Sharma, Mrunal Jhaveri, Nirav Panchmatia, Vikas Kapoor, Karan Garg",,Seed,,Bangaluru,India
HealthPlix,2016.0,Bangaluru,Healthtech,It provides clinical software for doctors,"Raghuraj Sunder Raju, Prasad Basavaraj, Sandeep Gudibanda","JSW Ventures, Chiratae Ventures, Kalaari Capital",6000000 ,Series B,,Bangaluru,India
YoloBus,2019.0,Gurugram,Mobility/Transport,Intercity bus service startup,"Shailesh Gupta, Mukul Shah",Nexus Venture Partners,3300000 ,Series A,,Gurugram,India
iNurture Education,2015.0,Bangaluru,Edtech,"It provides a conducive and healthy teaching, learning environment",Ashwin Ajila,Kimera Ltd,4000000 ,Seed,,Bangaluru,India
Pocket52,2017.0,Bangaluru,Gaming,An online poker playing platform,Nitesh Salvi,Gameskraft,1750000 ,Series A,,Bangaluru,India
QuaQua,2016.0,Hyderabad,Travel,Virtual travel guide platform,"Purav Shah, Sandesh Reddy",Anthill Ventures,1000000 ,Seed,,Hyderabad,India
Crofarm,2016.0,Delhi,AgriTech,Supply chain that supports farmers and provides businesses with freshest produce,"Prashant Jain, Varun Khurana",Smile group,1000000 ,Seed,,Delhi,India
Timios,2015.0,Bangaluru,Foodtech,Provides healthy snacks for kids,Aswani Chaitanya,Rangsons Technologies,,Pre series A,,Bangaluru,India
Wooden Street,2015.0,Jaipur,Ecommerce,It enables to order custom furniture online,"Lokendra Ranawat, Dinesh Pratap Singh, Virendra Ranawat, Vikas Baheti",IAN Fund,3000000 ,Series A,,Jaipur,India
BankBazaar,2008.0,Chennai,Fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,"Adhil Shetty, Arjun Shetty, Rati Shetty,",WSV Capital,5967000 ,Series D1,,Chennai,India
Rentmojo,2012.0,Bangaluru,Rental,"Rental platform for furniture, appliances & electronics",Geetansh Bamania,"Gautam Dalmia, Pratithi Investment Trust, Shri Investment",2980000 ,Seed,,Bangaluru,India
Credgencies,2018.0,Bangaluru,AI & Debt,Tech-enabled platform for resolution of non-performing assets,"Rishabh Goel, Anand Agrawal, Mayank Khera",Titan Capital,,Seed,,Bangaluru,India
Knorish,2015.0,Delhi,SaaS/Edtech,All-in-one knowledge commerce SaaS platform,"Kinner N Sacchdev, Rakhi Wadhwa",100x VC,323000 ,Pre series A,,Delhi,India
LetsTransport,2015.0,Bangaluru,Logitech,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Black Soil,1326000 ,Seed,,Bangaluru,India
Vahak,2017.0,Bangaluru,Transport,It enables logistic companies to conncet with transporters,"Karan Shaha, Vikas Chandrawat","Leo Capaitals, Amit Gupta, Abhishek Goyal, Ramakant Sharma, Harsh Pokhran",,Seed,,Bangaluru,India
Nutrova,2013.0,Mumbai,Nutrition,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",Akshay Pai,DSG Consumer Partners,,Pre series A,,Mumbai,India
Cube Wealth,2018.0,Mumbai,SaaS,A digital wealth management services,"Satyen Kothari, Beenext, Asuka Holding","Beenext, Asuka Holding",500000 ,Mid series,,Mumbai,India
IVF Access,2019.0,Bangaluru,Healthtech,It provdes IVF treatments,"Naresh Rao, Nikhil Rajmohan, Harinath Chakravarthy, Pravin Sethuraman",Vertex Ventures SEA & India,5000000 ,Series A,,Bangaluru,India
Hoi Foods,2017.0,Delhi,Foodtech,Quality food solution,Indrajeet Roy,Crowd Fund,2000000 ,Pre series A,,Delhi,India
Ola Financial Services,2015.0,Bangaluru,Fintech,It operates Ola Money,Bhavish Aggarwal,Matrix Partners,27000000 ,Series A,,Bangaluru,India
Awifs,2015.0,Delhi,Co-working,Provides office space solutions,Amit Ramani,"Bisque Limited, Link Investment Trust.",5200000 ,Seed,,Delhi,India
Dunzo,2014.0,Bangaluru,Logistics,India-based hyperlocal delivery startup,"Kabeer Biswas,  Mukund Jha, Dalvir Suri, Ankur Aggarwal",Undisclosed,55000000 ,Seed,,Bangaluru,India
Swiflearn,2019.0,Gurugram,Edtech,Learning platform for K-10 students looking for personalised learning,"Abhinav Agarwal, Anand Bakode","Stellaris Venture Partners, Venture Highway",,Seed,,Gurugram,India
Remedo,2017.0,Delhi,Healthtech,The platform connects doctors with patients,"Dr Ruchir Mehra, Harsh Bansal, Richeek Arya",River Rock Ventures. Inflection Point Ventures,,Pre series A,,Delhi,India
Blowhorn,2014.0,Bangaluru,Logistics,Tech platform that connects logistics service seekers with mini-truck drivers,"Mithun Srivatsa, Nikhil Shivaprasad",Trifecta Capital,,Seed,,Bangaluru,India
Toch,2015.0,Mumbai,AI,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos","Vinayak Srivastav, Saket Dandotia, Alok Patil","Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures",1000000 ,Pre series A,,Mumbai,India
Gram Cover,2015.0,Noida,Insurtech,It provides insurance products in rural areas,Jatin Singh,"EMVC, Flourish, Omidyar Network India",,Pre series A,,Noida,India
Coin DCX,2018.0,Mumbai,Cryptocurrency,Hybrid crypto exchange platform,"Sumit Gupta, Neeraj Khandelwal",Polychain Capital,2500000 ,Seed,,Mumbai,India
HomeCapital,2015.0,Mumbai,Fintech,Home Down Payment Assistance Program,Lalit Menghani,Varanium NexGen Fund,,Seed,,Mumbai,India
Euler Motors,2015.0,Delhi,Automotive,Startup focusses on electric vehicles,Saurav Kumar,Inventus III India Fund,2530000 ,Series A,,Delhi,India
Riskcovry,2018.0,Mumbai,Insurtech,Offers various insurance products,"Suvendu Prusty, Sorabh Bhandari, Chiranth Patil.","Bharat Inclusion Seed Fund, Varanium Capital, and Better Capital",,Pre series A,,Mumbai,India
NWNT (No Worry No Tension Healthcare),2015.0,Delhi,Healthtech,Mental healthtech startup,Sandeep Vohra,Amit Burman,,Pre series A,,Delhi,India
Voicezen,2015.0,Gurugram,AI,Conversational AI startup,Anurba Nath,Bharti Airtel,,Seed,,Gurugram,India
Leap Club,2015.0,Gurugram,Undisclosed,Community led professional network for women,"Ragini Das, Anand Sinha","Whiteboard Capital, FirstCheque, Artha India Ventures, Sweta Rau, Deepak Abbot, Amrish Rau, Harpreet Singh Grover",340000 ,Pre-Seed,,Gurugram,India
Credit Mantri,2012.0,Chennai,Fintech,Offers free credit score and a detailed credit analysis report,"Gowri Mukherjee, Ranjit Punja, Rajasundaram Sudarshan","IDG Ventures, Elevar Equity, Accion",792000 ,Seed,,Chennai,India
Xtracap,2015.0,Gurugram,Fintech,"Offers online payment solution,schemes, order management, insurance etc.,",Mohammed Riaz,Angel Investors,1000000 ,Seed,,Gurugram,India
Tring,2019.0,Mumbai,Media,Celebrity engagement platform,"Akshay Saini, Rahul Saini, Pranav Chabhadia","Kalyan Krishnamurthy, Sujeet Kumar, Keshav Sanghi, Roman Saini, Sumit Jain, Hemesh Singh",,Seed,,Mumbai,India
Vakilsearch,2010.0,Chennai,Legal,"Online platform for legal, tax and compliance services",Hrishikesh Datar,Sujeet Kumar,,Seed,,Chennai,India
Khatabook,2015.0,Bangaluru,Fintech,It helps SMEs to maintain their accounts and ledger online.,Ravish Naresh,B Capital Group,60000000 ,Series B,,Bangaluru,India
LendingKart,2014.0,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,"Harshvardhan Lunia, Mukul Sachan","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",11363000 ,Series D,,Ahmedabad,India
Illumnus,2015.0,Bangaluru,Edtech,Offers Collaborative learning management system for educational institutions,"Akash Deep Singhal, Akshaya Singhal",Angel investors. HNI,100000 ,Seed,,Bangaluru,India
LetsTransport,2015.0,Bangaluru,Logitech,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Innoven Capital,1715000 ,Seed,,Bangaluru,India
Eggoz,2017.0,Bihar,AgriTech,"Provides technology backed, deep integration services to egg farmers",Uttam Kumar,"Tracxn Labs, Angellist, Tri-Deep Capital",329000 ,Seed,,Bihar,India
Winuall,2018.0,Bangaluru,Edtech,It helps coaching institutes in digitization,Ashwini Purohit,"Ankit Bhati, Nitin Gupta",,Seed,,Bangaluru,India
Indian School Finance Company,2015.0,Hyderabad,Fintech,NBFC that provides funding to education system,Undisclosed,Gray Matters Capital,5271000 ,Seed,,Hyderabad,India
Juicy Chemistry,2014.0,Bangaluru,Undisclosed,It focuses on organic based skincare products,Pritesh Asher,Akya Ventures,650000 ,Series A,,Bangaluru,India
DeepTek,2018.0,Pune,Healthtech,AI enabled radiology platform,"Amit Kharat, Ajit Patil, Aniruddha Pant",GHV Accelerator,,Seed,,Pune,India
Stepathlon Lifestyle,2012.0,Mumbai,Fitness,It organises corporate wellness programs,"Krishnan, Shane Bilsborough","Josh Liberman, Mark Adams",,Seed,,Mumbai,India
Sindhuja Microcredit,2018.0,Noida,Fintech,It provides financial services to self employed women entrepreneurs,"Abhisheka Kumar, Malkit Didyala",Nordic Microfinance Initiative,8700000 ,Seed,,Noida,India
Rentmojo,2012.0,Bangaluru,Rental,"Rental platform for furniture, appliances & electronics",Geetansh Bamania,"Chiratae Ventures, Accel Partners, BCIP Venture Associates, Bain Capital, Renaud Laplanche",3226000 ,Seed,,Bangaluru,India
Tesco Charge Zone,2015.0,Gujarat,EV,Operates electric vehicle charging zone,Kartikey Hariyani,Mumbai Angels Network,,Seed,,Gujarat,India
Intello Labs,2016.0,Gurugram,"Supply chain, AgriTech",Standardisation and Quality control of fruits & vegetables,"Milan Sharma, Nishant Mishra, Himani Shah, Devendra Chandani",Saama Capital,5900000 ,Series A,,Gurugram,India
SirionLabs,2012.0,Gurugram,SaaS,"Provides procurement, outsourcing services & contract management software",Ajay Agrawal,"Tiger Global, Avatar Growth Capital",44000000 ,Series C,,Gurugram,India
Magicpin,2015.0,Gurugram,Undisclosed,"It is a local discovery, rewards, and commerce platform","Anshoo Sharma, Brij Bhushan",Lightspeed Venture Partners,3879000 ,Seed,,Gurugram,India
GroCurv,2019.0,Gurugram,B2B,"It offers a wide range of business related services like Branding, marketing, sales etc.,","Venkatesh Rangachari, Vipul Gupta",Unicorn Investments Pte Ltd,,Seed,,Gurugram,India
Refrens,2019.0,Bangaluru,SaaS,"Offers a free invoicing, payments and expense management system","Naman Sarawagi, Mohit Jain","Vijay Shekhar Sharma, Anupam Mittal",1000000 ,Seed,,Bangaluru,India
Shiprocket,2017.0,Bangaluru,Logitech,Tech enabled logistics aggregator,Saahil Goel,"Tribe Capital, Innoven Capital, BII",13000000 ,Series C,,Bangaluru,India
Spyne,2015.0,Gurugram,AI,Helps online businesses with visual content,"Sanjay Kumar, Deepti Prasad","Angellist, Smile Group, Manish Amin, Anil Goel, Anubhav Sonthalia, Deepak Mittal",,Pre series A,,Gurugram,India
Nykaa,2012.0,Mumbai,Ecommerce,Deals in cosmetic and wellness products,Falguni Nayar,Steadview capital,8800000 ,Seed,,Mumbai,India
Docsapp,2015.0,Bangaluru,Healthtech,Online doctor consultation app,Satish Kannan,"Bessemer Venture Partners India, Fusian Capital, Rebright Partners, Milliways Fund LLC",9500000 ,Seed,,Bangaluru,India
Phable,2018.0,Bangaluru,Healthtech,"It creates an engagement loop between doctors, hospitals, and patients via its app","Sumit Sinha,  Mukesh Bansal",Inflection Point Ventures,1000000 ,Pre series A,,Bangaluru,India
Generic Aadhaar,2015.0,Bangaluru,Pharma,It provides a platform for entrepreneurs to access generic  medicine at low cost,Arjun Deshpande,Ratan Tata,,Seed,,Bangaluru,India
Nium,2015.0,Bangaluru,Fintech,Open global money platform,Prajit Nanu,"VisaVentures, BRI Ventures",,Seed,,Bangaluru,India
Mintoak,2015.0,Mumbai,Fintech,Merchant payment solutions startup,"Raman Khanduja, Sanjay Nazareth",Pravega Ventures,2000000 ,Pre series A,,Mumbai,India
VestSpace,2018.0,Pune,Spacetech,It builds small satellite paltforms,Arun Kumar Sureban,Next Capital,10000000 ,Seed,,Pune,India
Blackbuck,2015.0,Bangaluru,Logistics,Provides trucking services,Rajesh Yabaji,Trifecta Venture,,Seed,,Bangaluru,India
Vernacular ai,2016.0,Bangaluru,AI,It offers Multiligual AI platform,"Gupta, Akshay Deshraj, Manoj Sarda","Exfinity Ventures, IAN Fund",5100000 ,Series A,,Bangaluru,India
Clover,2015.0,Bangaluru,AgriTech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura",Alteria Capital,920000 ,Seed,,Bangaluru,India
Varthana,2015.0,Bangaluru,Fintech,Offers secured and unsecured loans,Steve Hardgrave,ChrysCapital,15000000 ,Series D,,Bangaluru,India
Codeninja,2016.0,Bangaluru,SaaS,AI-powered 'no-code' platform which can generate application development code,"Prashanth Kuppur, Deepak Kalhan, Saurabh Kukreti, Richpal Gora","Hari Balasubramanian, EaSyndicate",,Seed,,Bangaluru,India
MetaMerphoSys,2016.0,Pune,Insurancenology,Digital insurance platform for businesses,"Amit Naik, Kewal Vargante",Good Capital,,Pre series A,,Pune,India
Rooter,2016.0,Delhi,Gaming,Live sports engagement platform,"Piyush, Dipesh Agarwal","Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",1700000 ,Pre series A,,Delhi,India
Aker Foods,2019.0,Pune,Foodtech & Logistics,Ai driven supply chain platform,Suraj Saste,Mumbai Angels Network,,Seed,,Pune,India
Sascan Meditech pvt ltd,2015.0,Kerala,Healthtech,They are developing technology that can detect early cancerous cells,Dr Subhash Narayanan,Unicorn India Ventures,,Seed,,Kerala,India
DailyHunt,2009.0,Bangaluru,Media,News aggregator,Virendra Gupta,Lupa India,35600000 ,Seed,,Bangaluru,India
Pratilipi,2014.0,Bangaluru,Media,A digital platform that connects readers and writers in various languages,"Ranjeet Pratap Singh, Sankaranarayanan Devarajan, Sahradayi Modi, Rahul Ranjan, Prashant Gupta",Tencent,9400000 ,Series C,,Bangaluru,India
Biryani By Kilo,2015.0,Delhi,Food,Online paltform to order biryani,Vishal Jindal,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi",790000 ,Series B,,Delhi,India
